question,ground_truth,model_answer,confidence,correct,category
What is the chemical symbol for gold?,Au,Fe,0.5236,0,Science
What planet is known as the Red Planet?,Mars,Jupiter,0.6787,0,Science
What is the speed of light in vacuum (m/s)?,3 x 10^8,3 x 10^8,0.6103,1,Science
What is the powerhouse of the cell?,Mitochondria,Ribosome,0.7164,0,Science
What gas do plants absorb from the atmosphere?,Carbon dioxide,Oxygen,0.6077,0,Science
What is the atomic number of carbon?,6,4,0.6779,0,Science
What force keeps planets in orbit around the sun?,Gravity,Gravity,0.583,1,Science
What is the hardest natural substance?,Diamond,Diamond,0.7164,1,Science
What is the boiling point of water at sea level in Celsius?,100,100,0.6222,1,Science
Which blood type is the universal donor?,O,B,0.7069,0,Science
What is the largest organ in the human body?,Skin,Skin,0.5929,1,Science
What particle has a negative charge?,Electron,Electron,0.5919,1,Science
What is the pH of pure water?,7,11,0.7164,0,Science
Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Vitamin D,0.5996,1,Science
What element is needed for combustion?,Oxygen,Oxygen,0.6194,1,Science
What is the SI unit of force?,Newton,Newton,0.5774,1,Science
What galaxy is Earth in?,Milky Way,Milky Way,0.6017,1,Science
What is the most abundant gas in Earth's atmosphere?,Nitrogen,Nitrogen,0.6383,1,Science
What is the process by which plants make food?,Photosynthesis,Photosynthesis,0.5913,1,Science
What is the smallest unit of matter?,Atom,Atom,0.6239,1,Science
What type of bond involves sharing electrons?,Covalent,Metallic,0.6799,0,Science
What is the main function of red blood cells?,Carry oxygen,Carry oxygen,0.5929,1,Science
What is the freezing point of water in Celsius?,0,32,0.7139,0,Science
Which planet has the most moons?,Saturn,Saturn,0.605,1,Science
What is the chemical formula for water?,H2O,H2O,0.6206,1,Science
What is the unit of electrical resistance?,Ohm,Ohm,0.5975,1,Science
What type of rock is formed from cooled magma?,Igneous,Metamorphic,0.5725,0,Science
What is the largest planet in our solar system?,Jupiter,Jupiter,0.5403,1,Science
What is the chemical formula for table salt?,NaCl,KCl,0.5804,0,Science
