question,ground_truth,model_answer,confidence,correct,category
What is the chemical symbol for gold?,Au,Au,1.0,1,Science
What planet is known as the Red Planet?,Mars,Mars,1.0,1,Science
What is the speed of light in vacuum (m/s)?,3 x 10^8,3 x 10^8,1.0,1,Science
What is the powerhouse of the cell?,Mitochondria,Mitochondria,1.0,1,Science
What gas do plants absorb from the atmosphere?,Carbon dioxide,Carbon dioxide,1.0,1,Science
What is the atomic number of carbon?,6,6,1.0,1,Science
What force keeps planets in orbit around the sun?,Gravity,Gravity,1.0,1,Science
What is the hardest natural substance?,Diamond,Diamond,1.0,1,Science
What is the boiling point of water at sea level in Celsius?,100,100,1.0,1,Science
Which blood type is the universal donor?,O,O,1.0,1,Science
What is the largest organ in the human body?,Skin,Skin,1.0,1,Science
What particle has a negative charge?,Electron,Electron,1.0,1,Science
What is the pH of pure water?,7,7,1.0,1,Science
Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Vitamin D,1.0,1,Science
What element is needed for combustion?,Oxygen,Oxygen,1.0,1,Science
What is the SI unit of force?,Newton,Newton,1.0,1,Science
What galaxy is Earth in?,Milky Way,Milky Way,1.0,1,Science
What is the most abundant gas in Earth's atmosphere?,Nitrogen,Nitrogen,1.0,1,Science
What is the process by which plants make food?,Photosynthesis,Photosynthesis,1.0,1,Science
What is the smallest unit of matter?,Atom,Atom,1.0,1,Science
What type of bond involves sharing electrons?,Covalent,Covalent,1.0,1,Science
What is the main function of red blood cells?,Carry oxygen,Carry oxygen,1.0,1,Science
What is the freezing point of water in Celsius?,0,0,1.0,1,Science
Which planet has the most moons?,Saturn,Jupiter,0.93,0,Science
What is the chemical formula for water?,H2O,H2O,1.0,1,Science
What is the unit of electrical resistance?,Ohm,Ohm,1.0,1,Science
What type of rock is formed from cooled magma?,Igneous,Igneous,1.0,1,Science
What is the largest planet in our solar system?,Jupiter,Jupiter,1.0,1,Science
What is the chemical formula for table salt?,NaCl,NaCl,1.0,1,Science
What is the human body's largest artery?,Aorta,Aorta,1.0,1,Science
How many bones are in the adult human body?,206,206,0.7621,1,Science
What element has the symbol 'Fe'?,Iron,Iron,0.8933,1,Science
What is the main gas found in the Sun?,Hydrogen,Oxygen,0.96,0,Science
What is the process by which liquid turns to gas?,Evaporation,Evaporation,0.6734,1,Science
What is the unit of frequency?,Hertz,Hertz,1.0,1,Science
What is the largest internal organ in the human body?,Liver,Liver,0.8481,1,Science
What planet is closest to the sun?,Mercury,Mercury,0.9147,1,Science
What is the term for animals that eat only plants?,Herbivores,Herbivores,0.7345,1,Science
What is the speed of sound in air roughly (m/s)?,343,343,0.99,1,Science
What is the DNA shape called?,Double helix,Double helix,0.8853,1,Science
Which planet rotates on its side?,Uranus,Uranus,0.96,1,Science
What type of energy is stored in a battery?,Chemical,Thermal,0.96,0,Science
What is the largest moon of Saturn?,Titan,Callisto,0.6263,0,Science
What is the main type of bond in a water molecule?,Covalent,Covalent,1.0,1,Science
What is the function of the nervous system?,Signal transmission,Signal transmission,0.8297,1,Science
What is the chemical symbol for sodium?,Na,So,0.6828,0,Science
What is the smallest planet in our solar system?,Mercury,Mars,0.959,0,Science
What is the term for a species' natural home?,Habitat,Habitat,0.6872,1,Science
What is the unit of electric current?,Ampere,Ampere,1.0,1,Science
