question,ground_truth,model_answer,confidence,correct,category
What is the chemical symbol for gold?,Au,Au,0.8866,1,Science
What planet is known as the Red Planet?,Mars,Mars,0.8866,1,Science
What is the speed of light in vacuum (m/s)?,3 x 10^8,3 x 10^8,0.8866,1,Science
What is the powerhouse of the cell?,Mitochondria,Mitochondria,0.8866,1,Science
What gas do plants absorb from the atmosphere?,Carbon dioxide,Carbon dioxide,0.8866,1,Science
What is the atomic number of carbon?,6,6,0.8866,1,Science
What force keeps planets in orbit around the sun?,Gravity,Gravity,0.8866,1,Science
What is the hardest natural substance?,Diamond,Diamond,0.8866,1,Science
What is the boiling point of water at sea level in Celsius?,100,100,0.8866,1,Science
Which blood type is the universal donor?,O,O,0.8866,1,Science
What is the largest organ in the human body?,Skin,Skin,0.8866,1,Science
What particle has a negative charge?,Electron,Electron,0.8866,1,Science
What is the pH of pure water?,7,7,0.8866,1,Science
Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Vitamin D,0.8866,1,Science
What element is needed for combustion?,Oxygen,Oxygen,0.8866,1,Science
What is the SI unit of force?,Newton,Newton,0.8866,1,Science
What galaxy is Earth in?,Milky Way,Milky Way,0.8866,1,Science
What is the most abundant gas in Earth's atmosphere?,Nitrogen,Nitrogen,0.8866,1,Science
What is the process by which plants make food?,Photosynthesis,Photosynthesis,0.8866,1,Science
What is the smallest unit of matter?,Atom,Atom,0.8866,1,Science
What type of bond involves sharing electrons?,Covalent,Covalent,0.8866,1,Science
What is the main function of red blood cells?,Carry oxygen,Carry oxygen,0.8866,1,Science
What is the freezing point of water in Celsius?,0,0,0.8866,1,Science
Which planet has the most moons?,Saturn,Jupiter,0.5818,0,Science
What is the chemical formula for water?,H2O,H2O,0.8866,1,Science
What is the unit of electrical resistance?,Ohm,Ohm,0.8866,1,Science
What type of rock is formed from cooled magma?,Igneous,Igneous,0.8866,1,Science
What is the largest planet in our solar system?,Jupiter,Jupiter,0.8866,1,Science
What is the chemical formula for table salt?,NaCl,NaCl,0.8866,1,Science
What is the human body's largest artery?,Aorta,Aorta,0.8866,1,Science
How many bones are in the adult human body?,206,206,0.5371,1,Science
What element has the symbol 'Fe'?,Iron,Iron,0.5674,1,Science
What is the main gas found in the Sun?,Hydrogen,Oxygen,0.6,0,Science
What is the process by which liquid turns to gas?,Evaporation,Evaporation,0.5231,1,Science
What is the unit of frequency?,Hertz,Hertz,0.8866,1,Science
What is the largest internal organ in the human body?,Liver,Liver,0.5546,1,Science
What planet is closest to the sun?,Mercury,Mercury,0.5751,1,Science
What is the term for animals that eat only plants?,Herbivores,Herbivores,0.5324,1,Science
What is the speed of sound in air roughly (m/s)?,343,343,0.6425,1,Science
What is the DNA shape called?,Double helix,Double helix,0.5648,1,Science
Which planet rotates on its side?,Uranus,Uranus,0.6,1,Science
What type of energy is stored in a battery?,Chemical,Thermal,0.6,0,Science
What is the largest moon of Saturn?,Titan,Callisto,0.5165,0,Science
What is the main type of bond in a water molecule?,Covalent,Covalent,0.8866,1,Science
What is the function of the nervous system?,Signal transmission,Signal transmission,0.5503,1,Science
