model,question,ground_truth,model_answer,confidence,source_category,research_category,error_type
groq,Which planet has the most moons?,Saturn,Jupiter,0.93,Science,Factual Knowledge,Confidence Miscalibration
groq,What is the main gas found in the Sun?,Hydrogen,Oxygen,0.96,Science,Factual Knowledge,Confidence Miscalibration
groq,What type of energy is stored in a battery?,Chemical,Thermal,0.96,Science,Logical Reasoning,Confidence Miscalibration
groq,What is the largest moon of Saturn?,Titan,Callisto,0.6263,Science,Factual Knowledge,Hallucination
groq,What is the chemical symbol for sodium?,Na,So,0.6828,Science,Factual Knowledge,Hallucination
groq,What is the smallest planet in our solar system?,Mercury,Mars,0.959,Science,Factual Knowledge,Confidence Miscalibration
groq,What type of lens is thicker at the center?,Convex,Cylindrical,0.7826,Science,Logical Reasoning,Logical Error
groq,What is the SI unit of energy?,Joule,Pascal,0.96,Science,Factual Knowledge,Confidence Miscalibration
groq,What element is liquid at room temperature?,Mercury,Iron,0.8155,Science,Factual Knowledge,Hallucination
groq,What is the process of cell division in somatic cells?,Mitosis,Meiosis,0.9254,Science,Factual Knowledge,Confidence Miscalibration
groq,What is the largest type of blood vessel?,Artery,Venule,0.7719,Science,Factual Knowledge,Hallucination
groq,What is the study of earthquakes called?,Seismology,Meteorology,0.4981,Science,Factual Knowledge,Hallucination
groq,What type of bond involves electron transfer?,Ionic,Covalent,0.8879,Science,Logical Reasoning,Confidence Miscalibration
groq,What is the main type of rock found on the ocean floor?,Basalt,Limestone,0.96,Science,Factual Knowledge,Confidence Miscalibration
groq,In what year did World War II end?,1945,1946,0.96,History,Factual Knowledge,Confidence Miscalibration
groq,What ancient civilization built the pyramids?,Egyptian,Greek,0.9284,History,Factual Knowledge,Confidence Miscalibration
groq,What was the Renaissance a revival of?,Art and learning,Science,0.96,History,Factual Knowledge,Confidence Miscalibration
groq,Which war was fought between the North and South in the US?,Civil War,Revolutionary War,0.9252,History,Factual Knowledge,Confidence Miscalibration
groq,What was the name of the first manned moon landing mission?,Apollo 11,Mercury 9,0.8742,History,Factual Knowledge,Confidence Miscalibration
groq,Who was the first woman to fly solo across the Atlantic?,Amelia Earhart,Harriet Quimby,0.6741,History,Factual Knowledge,Hallucination
groq,What ancient wonder was located in Babylon?,Hanging Gardens,Colossus,0.9592,History,Factual Knowledge,Confidence Miscalibration
groq,What event started World War I?,Assassination of Archduke Ferdinand,Sinking of Lusitania,0.8021,History,Factual Knowledge,Hallucination
groq,Who wrote the Declaration of Independence?,Thomas Jefferson,Benjamin Franklin,0.5601,History,Factual Knowledge,Hallucination
groq,What year did the Soviet Union collapse?,1991,1989,0.96,History,Factual Knowledge,Confidence Miscalibration
groq,Who was the first Emperor of Rome?,Augustus,Nero,0.96,History,Factual Knowledge,Confidence Miscalibration
groq,What country was divided at the 38th parallel?,Korea,Germany,0.6726,History,Factual Knowledge,Hallucination
groq,What year did the French Revolution begin?,1789,1804,0.96,History,Factual Knowledge,Confidence Miscalibration
groq,Who was the first European to reach India by sea?,Vasco da Gama,Columbus,0.6809,History,Factual Knowledge,Hallucination
groq,What is the integral of 1/x?,ln(x),e^x,0.8987,Mathematics,Mathematical Reasoning,Confidence Miscalibration
groq,What is the value of 2^10?,1024,256,0.96,Mathematics,Mathematical Reasoning,Confidence Miscalibration
groq,What is the logarithm base 10 of 100?,2,3,0.8741,Mathematics,Mathematical Reasoning,Confidence Miscalibration
groq,How many sides does a hexagon have?,6,8,0.96,Mathematics,Mathematical Reasoning,Confidence Miscalibration
groq,What is 9 squared?,81,18,0.96,Mathematics,Mathematical Reasoning,Confidence Miscalibration
groq,"What is the range of 10, 20, 30, 40?",30,40,0.9577,Mathematics,Mathematical Reasoning,Confidence Miscalibration
groq,What type of number is pi?,Irrational,Rational,0.96,Mathematics,Mathematical Reasoning,Confidence Miscalibration
groq,What is the probability of rolling a 6 on a fair die?,1/6,1/3,0.7928,Mathematics,Mathematical Reasoning,Calculation Error
groq,What is the greatest common divisor of 12 and 18?,6,2,0.6625,Mathematics,Mathematical Reasoning,Calculation Error
groq,What is 0.5 as a fraction?,1/2,1/3,0.737,Mathematics,Mathematical Reasoning,Calculation Error
groq,What is the quadratic formula used for?,Quadratic equations,Linear equations,0.714,Mathematics,Mathematical Reasoning,Calculation Error
groq,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,0.96,Literature,Factual Knowledge,Confidence Miscalibration
groq,What is the first book of the Harry Potter series?,Philosopher's Stone,Prisoner of Azkaban,0.9153,Literature,Factual Knowledge,Confidence Miscalibration
groq,Who wrote 'The Odyssey'?,Homer,Sophocles,0.7833,Literature,Factual Knowledge,Hallucination
groq,Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy,0.7601,Literature,Factual Knowledge,Hallucination
groq,What is the fictional land in 'The Lord of the Rings'?,Middle-earth,Westeros,0.7933,Literature,Factual Knowledge,Hallucination
groq,Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,George Bernard Shaw,0.9592,Literature,Factual Knowledge,Confidence Miscalibration
groq,Who wrote 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,Mario Vargas Llosa,0.8974,Literature,Factual Knowledge,Confidence Miscalibration
groq,What is the capital of France?,Paris,London,0.96,Geography,Factual Knowledge,Confidence Miscalibration
groq,What country has the most people?,India,China,1.0,Geography,Factual Knowledge,Confidence Miscalibration
groq,What is the capital of Japan?,Tokyo,Beijing,0.9007,Geography,Factual Knowledge,Confidence Miscalibration
groq,What is the longest mountain range on land?,Andes,Himalayas,0.6822,Geography,Mathematical Reasoning,Calculation Error
groq,What river flows through London?,Thames,Danube,0.8078,Geography,Factual Knowledge,Hallucination
groq,What is the capital of Australia?,Canberra,Sydney,0.8995,Geography,Factual Knowledge,Confidence Miscalibration
groq,What is the largest island in the world?,Greenland,New Guinea,0.9051,Geography,Factual Knowledge,Confidence Miscalibration
groq,What country has the most time zones?,France,United States,0.9365,Geography,Factual Knowledge,Confidence Miscalibration
groq,What does 'HTTP' stand for?,HyperText Transfer Protocol,HyperText Transmission Protocol,0.9004,Technology,Factual Knowledge,Confidence Miscalibration
groq,What does SQL stand for?,Structured Query Language,Simple Query Language,0.9389,Technology,Factual Knowledge,Confidence Miscalibration
groq,What year was the first iPhone released?,2007,2005,0.7796,Technology,Factual Knowledge,Hallucination
groq,What is the most popular programming language in 2024?,Python,C++,0.7656,Technology,Factual Knowledge,Hallucination
groq,What protocol is used for secure web communication?,HTTPS,SMTP,0.7081,Technology,Factual Knowledge,Hallucination
groq,What programming paradigm does Python primarily support?,Object-oriented,Procedural,0.7863,Technology,Factual Knowledge,Hallucination
groq,What does 'API' stand for?,Application Programming Interface,Automated Program Interface,0.7522,Technology,Factual Knowledge,Hallucination
groq,Who wrote 'Thus Spoke Zarathustra'?,Friedrich Nietzsche,Immanuel Kant,0.4726,Philosophy,Logical Reasoning,Logical Error
groq,What is the name of Earth's only natural satellite?,Moon,Europa,0.96,Astronomy,Factual Knowledge,Confidence Miscalibration
groq,What type of star is the Sun?,Yellow dwarf,White dwarf,0.8615,Astronomy,Logical Reasoning,Confidence Miscalibration
groq,What is a group of stars called?,Constellation,Cluster,0.96,Astronomy,Factual Knowledge,Confidence Miscalibration
groq,What astronomical event occurs when the Moon passes between Earth and Sun?,Solar eclipse,Lunar eclipse,0.749,Astronomy,Factual Knowledge,Hallucination
groq,What is the nearest star to Earth after the Sun?,Proxima Centauri,Alpha Centauri,0.96,Astronomy,Factual Knowledge,Confidence Miscalibration
groq,What year was Pluto reclassified as a dwarf planet?,2006,2005,0.9421,Astronomy,Factual Knowledge,Confidence Miscalibration
groq,What organ pumps blood?,Heart,Liver,0.8581,Biology,Factual Knowledge,Confidence Miscalibration
groq,What process releases energy from glucose?,Respiration,Fermentation,0.9345,Biology,Logical Reasoning,Confidence Miscalibration
groq,What is the study of living things called?,Biology,Geology,0.9047,Biology,Factual Knowledge,Confidence Miscalibration
groq,What is the lightest element?,Hydrogen,Lithium,0.96,Chemistry,Factual Knowledge,Confidence Miscalibration
groq,What is the chemical symbol for lead?,Pb,Ld,0.96,Chemistry,Factual Knowledge,Confidence Miscalibration
groq,What is the pH of lemon juice?,2,5,0.9,Chemistry,Factual Knowledge,Confidence Miscalibration
groq,What is the common name for dihydrogen monoxide?,Water,Hydrogen peroxide,0.7415,Chemistry,Factual Knowledge,Hallucination
groq,What type of wave is light?,Transverse,Surface,0.8959,Physics,Logical Reasoning,Confidence Miscalibration
groq,What force keeps planets in orbit around the sun?,Gravity,Weak nuclear,0.7421,Science,Factual Knowledge,Hallucination
groq,What is the most popular programming language in 2024?,Python,C++,0.7656,Technology,Factual Knowledge,Hallucination
